Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoMaxBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
rbt,16,63013,9930,22.723678,0.000361,0.161190,0.000367,15,9,15,682803,687072,6263
bst,17,64678,10090,33.733915,0.000522,0.086248,0.000317,32,6,32,786699,796789,0
avl,17,64678,10090,30.761011,0.000476,0.140779,0.000364,15,10,15,710522,713957,7719
rbt,17,64678,10090,23.269080,0.000360,0.161190,0.000366,15,9,15,702180,706517,6362
bst,18,65264,10142,34.048396,0.000522,0.086248,0.000317,32,6,32,794292,804434,0
avl,18,65264,10142,31.101199,0.000477,0.140779,0.000365,15,10,15,717312,720766,7760
rbt,18,65264,10142,23.490592,0.000360,0.161190,0.000367,15,9,15,708931,713300,6385
bst,19,65628,10180,34.291818,0.000523,0.086248,0.000318,32,6,32,799089,809269,0
avl,19,65628,10180,31.349339,0.000478,0.140779,0.000366,15,10,15,721470,724935,7790
rbt,19,65628,10180,23.673091,0.000361,0.161190,0.000368,15,9,15,713088,717477,6404
bst,20,67164,10285,35.218021,0.000524,0.086248,0.000318,32,6,32,818773,829058,0
avl,20,67164,10285,32.137655,0.000478,0.140779,0.000368,15,10,15,739133,742638,7866
rbt,20,67164,10285,24.266418,0.000361,0.161190,0.000368,15,9,15,730826,735271,6457
bst,21,73797,10915,39.019038,0.000529,0.086248,0.000319,32,6,32,903433,914348,0
avl,21,73797,10915,35.512740,0.000481,0.140779,0.000370,15,10,15,815979,819724,8315
rbt,21,73797,10915,26.786639,0.000363,0.161190,0.000369,15,9,15,807822,812562,6821
bst,22,77895,11337,41.688852,0.000535,0.086248,0.000321,32,6,32,956171,967508,0
avl,22,77895,11337,37.886636,0.000486,0.140779,0.000370,15,10,15,863486,867382,8636
rbt,22,77895,11337,28.659718,0.000368,0.161190,0.000370,15,9,15,855917,860851,7080
bst,23,78823,11483,42.249075,0.000536,0.086248,0.000322,32,6,32,968691,980174,0
avl,23,78823,11483,38.427425,0.000488,0.140779,0.000370,15,10,15,874405,878347,8752
rbt,23,78823,11483,29.014122,0.000368,0.161190,0.000370,15,9,15,866916,871903,7181
bst,24,80126,11623,43.357398,0.000541,0.086248,0.000323,32,6,32,985509,997132,0
avl,24,80126,11623,39.223679,0.000490,0.140779,0.000370,15,10,15,889478,893467,8858
rbt,24,80126,11623,29.963257,0.000374,0.161190,0.000371,15,9,15,882337,887388,7264
bst,25,81071,11717,44.045495,0.000543,0.086248,0.000323,32,6,32,997941,1009658,0
avl,25,81071,11717,39.745969,0.000490,0.140779,0.000370,15,10,15,900445,904451,8948
rbt,25,81071,11717,30.400512,0.000375,0.161190,0.000371,15,9,15,893565,898637,7341
